antenna,x,y,z,snap,adc,feng_idx,condensed_feng_idx,old_feng_idx,functional,row,col
0,0.0,0.0,0.0,0,6,6,0,3,0,N21,E1
1,0.38,0.0,0.0,0,8,8,1,4,0,N21,E2
2,0.825,0.0,0.0,0,9,9,2,36,0,N21,E3
3,1.205,0.0,0.0,0,11,11,3,37,0,N21,E4
4,1.65,0.0,0.0,2,3,27,4,45,1,N21,E5
5,2.03,0.0,0.0,0,0,0,5,0,0,N21,E6
6,0.0,-10.5,0.0,2,6,30,6,15,0,C,E1
7,0.341,-10.5,0.0,2,11,35,7,49,1,C,E2
8,0.922,-10.5,0.0,2,8,32,8,16,1,C,E3
9,1.205,-10.5,0.0,2,5,29,9,46,0,C,E4
10,1.608,-10.5,0.0,2,1,25,10,44,1,C,E5
11,2.206,-10.5,0.0,2,9,33,11,48,1,C,E6
12,-4.912,-5.5,0.3,2,2,26,12,13,1,O1,O1
